parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,0-30%,owner,337.1428228384966,5352416.634353654
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,0-30%,renter,840.7358078295948,12610845.33563255
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,100%+,owner,7566.924403193158,1248138301.5212784
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,100%+,renter,1842.6833686019238,218642485.74207294
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,30-60%,owner,677.1117755689896,31440042.964815803
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,30-60%,renter,852.5518573446117,36030108.67926883
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,60-80%,owner,620.0313249902616,39260064.10158013
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,60-80%,renter,516.0780405589173,30794543.235012308
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,80-100%,owner,1033.7883269323145,78756267.87145916
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,80-100%,renter,505.95227214173013,36511249.68576695
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,0-30%,owner,335.1828226516441,4932196.441047241
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,0-30%,renter,835.8481393733422,11620763.242492817
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,100%+,owner,7522.933630620009,1150146505.6337845
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,100%+,renter,1831.9708174155683,201476783.9852583
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,30-60%,owner,673.1753453182677,28971673.65898873
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,30-60%,renter,847.5954955700133,33201371.63049801
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,60-80%,owner,616.4267353905076,36177742.0678096
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,60-80%,renter,513.0777896640301,28376852.34975067
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,80-100%,owner,1027.7783359827995,72573084.39194052
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,80-100%,renter,503.0108880138191,33644738.08008652
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,0-30%,owner,332.2656130712122,5584808.0730727585
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,0-30%,renter,828.5734700431057,13158383.520945294
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,100%+,owner,7457.458992371598,1302330020.0338593
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,100%+,renter,1816.0265551847124,228135513.9007184
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,30-60%,owner,667.3164723869601,32805108.003118128
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,30-60%,renter,840.2185850217735,37594465.37367105
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,60-80%,owner,611.0617648234316,40964659.12921892
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,60-80%,renter,508.61229996001185,32131581.94032347
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,80-100%,owner,1018.8332331742183,82175710.64826488
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,80-100%,renter,498.6330139629746,38096496.579562314
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,0-30%,owner,329.6902639884873,5025273.925094462
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,0-30%,renter,822.1513010250063,11840063.389647944
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,100%+,owner,7399.657163292924,1171851387.8925626
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,100%+,renter,1801.9507611840352,205278934.27903113
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,30-60%,owner,662.1441861272903,29518409.890006162
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,30-60%,renter,833.7061561784055,33827928.21136837
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,60-80%,owner,606.325501744685,36860466.945139505
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,60-80%,renter,504.6701098306832,28912363.466038134
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,80-100%,owner,1010.9363846010182,73942640.56949499
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,80-100%,renter,494.76817202746355,34279661.60946186
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,0-30%,owner,325.7246822150878,5018163.387596734
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,0-30%,renter,812.2622974042162,11823310.230325192
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,100%+,owner,7310.652576923994,1170193270.671576
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,100%+,renter,1780.276529713966,204988473.78246078
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,30-60%,owner,654.1797807362943,29476642.662283897
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,30-60%,renter,823.6781684018922,33780063.2082655
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,60-80%,owner,599.0324948800662,36808311.035570405
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,60-80%,renter,498.5998347642835,28871453.766858034
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,80-100%,owner,998.7766354706038,73838015.045337
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,80-100%,renter,488.816999489597,34231157.42383601
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,0-30%,owner,321.690728342147,4833030.065104332
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,0-30%,renter,802.2027937209988,11387117.038368007
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,100%+,owner,7220.113428721114,1127021745.2698429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,100%+,renter,1758.228604597861,197425906.7050727
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,30-60%,owner,646.0780580109708,28389171.336523943
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,30-60%,renter,813.4772842844046,32533827.31423166
